"","ASV1","ASV2","ASV25","ASV47","ASV69","ASV102","ASV178","ASV261","ASV315","ASV350","ASV352","ASV548","ASV764","ASV1180","ASV1510","ASV1650","ASV2247","ASV2263","ASV2385","ASV2679","ASV5312","ASV5425","ASV6615","ASV7140","ASV7525","ASV7760","ASV9005","ASV9196","ASV12760","ASV17612"
"246",0.00326797385620915,0.0784313725490196,0.366013071895424,0.235294117647058,0.169934640522876,0.0392156862745098,0.0130718954248366,0.042483660130719,0.0130718954248366,0,0.0163398692810458,0.00326797385620915,0.00326797385620915,0.0065359477124183,0.00326797385620915,0,0,0.00326797385620915,0,0,0,0,0,0,0,0,0,0.00326797385620915,0,0
"247",0.00351493848857645,0.0738137082601055,0.37434094903339,0.161687170474517,0.119507908611599,0.0316344463971881,0.0140597539543058,0.0527240773286468,0.0140597539543058,0.0193321616871705,0.0685413005272408,0.0123022847100176,0.00527240773286467,0.015817223198594,0.0070298769771529,0.00351493848857645,0.00351493848857645,0.0175746924428822,0,0.00175746924428822,0,0,0,0,0,0,0,0,0,0
"248",0.00634920634920635,0.0888888888888889,0.444444444444443,0.149206349206349,0.13015873015873,0.0285714285714286,0.0126984126984127,0.0603174603174603,0.00634920634920635,0.019047619047619,0.0285714285714286,0.00634920634920635,0,0.00634920634920635,0,0,0,0.00952380952380952,0,0.00317460317460317,0,0,0,0,0,0,0,0,0,0
"249",0.00628930817610063,0.0534591194968553,0.427672955974843,0.172955974842767,0.141509433962264,0.0251572327044025,0.00943396226415094,0.0691823899371069,0.00628930817610063,0.00628930817610063,0.0471698113207547,0.00314465408805031,0,0.0157232704402516,0,0,0,0.0157232704402516,0,0,0,0,0,0,0,0,0,0,0,0
"25",0.00819672131147541,0.0532786885245902,0.430327868852459,0.0942622950819672,0.323770491803279,0.0122950819672131,0.00819672131147541,0.0245901639344262,0.0040983606557377,0.0040983606557377,0.00819672131147541,0.00819672131147541,0.0122950819672131,0,0.00819672131147541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250",0.0105263157894737,0.0947368421052631,0.364912280701755,0.143859649122807,0.157894736842105,0.0596491228070175,0.00701754385964912,0.0385964912280702,0.0315789473684211,0.0140350877192982,0.0385964912280702,0,0.00701754385964912,0.0140350877192982,0.00701754385964912,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0
"253",0.00887573964497041,0.0798816568047337,0.443786982248521,0.186390532544378,0.150887573964497,0.0207100591715976,0.00887573964497041,0.0414201183431953,0.00887573964497041,0.00887573964497041,0.0207100591715976,0,0,0,0.00591715976331361,0,0,0.00887573964497041,0.0029585798816568,0,0,0,0,0,0,0.0029585798816568,0,0,0,0
"257",0.0053475935828877,0.0267379679144385,0.470588235294118,0.133689839572192,0.20855614973262,0.0160427807486631,0.0106951871657754,0.0481283422459893,0.0053475935828877,0.0213903743315508,0.0267379679144385,0.0053475935828877,0,0.0053475935828877,0,0,0,0.0106951871657754,0,0.0053475935828877,0,0,0,0,0,0,0,0,0,0
"258",0,0.149532710280374,0.514018691588785,0.196261682242991,0.0747663551401869,0,0.00934579439252336,0,0.00934579439252336,0.00934579439252336,0.0186915887850467,0,0.00934579439252336,0.00934579439252336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263",0.0240963855421687,0.0120481927710843,0.542168674698795,0.072289156626506,0.301204819277108,0,0.0120481927710843,0.0120481927710843,0,0,0,0.0120481927710843,0,0.0120481927710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"264",0.00386100386100386,0.0231660231660232,0.393822393822393,0.115830115830116,0.235521235521235,0.0656370656370656,0,0.0501930501930502,0.0231660231660232,0.00772200772200772,0.0231660231660232,0,0.0231660231660232,0.0154440154440154,0,0,0.00386100386100386,0.0115830115830116,0,0,0,0,0,0,0,0,0,0.00386100386100386,0,0
