"X","sample_pair","group","beta_div_method","beta_div_value","time"
384,"197-243","Time 1","bray",0.802469135802469,1
385,"197-257","Time 1","bray",0.670940170940171,1
386,"197-263","Time 1","bray",0.664772727272727,1
387,"197-269","Time 1","bray",0.697074010327022,1
388,"197-279","Time 1","bray",0.658450704225352,1
389,"197-291","Time 1","bray",0.848101265822785,1
390,"197-295","Time 1","bray",0.901408450704225,1
391,"197-300","Time 1","bray",0.608465608465608,1
392,"197-318","Time 1","bray",0.702654867256637,1
393,"197-323","Time 1","bray",0.712737127371274,1
394,"197-343","Time 1","bray",0.656666666666667,1
395,"197-358","Time 1","bray",0.695238095238095,1
396,"197-359","Time 1","bray",0.697841726618705,1
397,"197-46","Time 1","bray",0.79295154185022,1
398,"197-5","Time 1","bray",0.656862745098039,1
399,"197-96","Time 1","bray",0.523316062176166,1
400,"23-241","Time 1","bray",0.785263157894737,1
401,"23-243","Time 1","bray",0.768488745980707,1
402,"23-257","Time 1","bray",0.617582417582418,1
403,"23-263","Time 1","bray",0.746312684365782,1
404,"23-269","Time 1","bray",0.742957746478873,1
405,"23-279","Time 1","bray",0.693693693693694,1
406,"23-291","Time 1","bray",0.854785478547855,1
407,"23-295","Time 1","bray",0.904059040590406,1
408,"23-300","Time 1","bray",0.714801444043321,1
409,"23-318","Time 1","bray",0.757246376811594,1
410,"23-323","Time 1","bray",0.702247191011236,1
411,"23-343","Time 1","bray",0.710391822827939,1
412,"23-358","Time 1","bray",0.631449631449631,1
413,"23-359","Time 1","bray",0.702970297029703,1
414,"23-46","Time 1","bray",0.804988662131519,1
415,"23-5","Time 1","bray",0.675949367088608,1
416,"23-96","Time 1","bray",0.678445229681979,1
417,"241-243","Time 1","bray",0.83453237410072,1
418,"241-257","Time 1","bray",0.739336492890995,1
419,"241-263","Time 1","bray",0.862745098039216,1
420,"241-269","Time 1","bray",0.738317757009346,1
421,"241-279","Time 1","bray",0.735632183908046,1
422,"241-291","Time 1","bray",0.859259259259259,1
423,"241-295","Time 1","bray",0.915966386554622,1
424,"241-300","Time 1","bray",0.800383877159309,1
